new_event_id,date,daily_eps,daily_minpts,workbook_n_clusters,reproduced_n_clusters,match
50,2025-07-19,3.647058823529412,10,2,2,1
50,2025-07-20,3.647058823529412,10,5,5,1
50,2025-07-21,3.647058823529412,10,4,4,1
50,2025-07-22,3.647058823529412,10,2,2,1
50,2025-07-23,3.647058823529412,10,2,2,1
50,2025-07-24,3.647058823529412,10,1,1,1
50,2025-07-25,3.647058823529412,10,2,2,1
50,2025-07-26,3.647058823529412,10,2,2,1
50,2025-07-27,3.647058823529412,10,1,1,1
50,2025-07-28,3.647058823529412,10,1,1,1
50,2025-07-29,3.647058823529412,10,2,2,1
50,2025-07-30,3.647058823529412,10,1,1,1
50,2025-07-31,3.647058823529412,10,1,1,1
50,2025-08-01,3.647058823529412,10,2,2,1
51,2025-08-07,3.4545454545454546,9,1,1,1
51,2025-08-08,3.4545454545454546,9,1,1,1
51,2025-08-09,3.4545454545454546,9,2,2,1
51,2025-08-10,3.4545454545454546,9,2,2,1
51,2025-08-11,3.4545454545454546,9,2,2,1
51,2025-08-12,3.4545454545454546,9,1,1,1
51,2025-08-13,3.4545454545454546,9,1,1,1
51,2025-08-14,3.4545454545454546,9,2,2,1
51,2025-08-15,3.4545454545454546,9,2,2,1
