date,method,eps,min_samples,n_components,n_noise
1998-05-24,A,2.0,5,3,5
1998-05-24,A,2.0,6,3,8
1998-05-24,A,2.0,7,3,12
1998-05-24,A,2.0,8,4,14
1998-05-24,A,2.0,9,4,18
1998-05-24,A,2.0,10,4,29
1998-05-24,A,2.0,11,4,34
1998-05-24,A,2.0,12,3,67
1998-05-24,A,2.5,4,3,4
1998-05-24,A,2.5,5,3,4
1998-05-24,A,2.5,6,3,5
1998-05-24,A,2.5,7,3,6
1998-05-24,A,2.5,8,3,6
1998-05-24,A,2.5,9,3,7
1998-05-24,A,2.5,10,3,9
1998-05-24,A,2.5,11,4,15
1998-05-24,A,2.5,12,4,15
1998-05-24,A,3.0,4,2,4
1998-05-24,A,3.0,5,2,4
1998-05-24,A,3.0,6,2,4
1998-05-24,A,3.0,7,3,4
1998-05-24,A,3.0,8,3,4
1998-05-24,A,3.0,9,3,4
1998-05-24,A,3.0,10,3,5
1998-05-24,A,3.0,11,3,5
1998-05-24,A,3.0,12,3,6
1998-05-24,A,3.5,4,2,4
1998-05-24,A,3.5,5,2,4
1998-05-24,A,3.5,6,2,4
1998-05-24,A,3.5,7,2,4
1998-05-24,A,3.5,8,2,4
1998-05-24,A,3.5,9,2,4
1998-05-24,A,3.5,10,2,4
1998-05-24,A,3.5,11,3,5
1998-05-24,A,3.5,12,3,5
1998-05-24,A,4.0,4,2,3
1998-05-24,A,4.0,5,2,3
1998-05-24,A,4.0,6,2,3
1998-05-24,A,4.0,7,2,3
1998-05-24,A,4.0,8,2,3
1998-05-24,A,4.0,9,2,3
1998-05-24,A,4.0,10,2,3
1998-05-24,A,4.0,11,2,3
1998-05-24,A,4.0,12,2,3
1998-05-25,A,1.0,4,4,16
1998-05-25,A,1.0,5,7,47
1998-05-25,A,1.0,6,0,378
1998-05-25,A,1.0,7,0,378
1998-05-25,A,1.0,8,0,378
1998-05-25,A,1.0,9,0,378
1998-05-25,A,1.0,10,0,378
1998-05-25,A,1.0,11,0,378
1998-05-25,A,1.0,12,0,378
1998-05-25,A,1.5,4,2,9
1998-05-25,A,1.5,5,2,11
1998-05-25,A,1.5,6,2,12
1998-05-25,A,1.5,7,5,24
1998-05-25,A,1.5,8,5,32
1998-05-25,A,1.5,9,4,64
1998-05-25,A,1.5,10,0,378
1998-05-25,A,1.5,11,0,378
1998-05-25,A,1.5,12,0,378
1998-05-25,A,2.0,4,2,7
1998-05-25,A,2.0,5,2,8
1998-05-25,A,2.0,6,2,8
1998-05-25,A,2.0,7,2,9
1998-05-25,A,2.0,8,3,11
1998-05-25,A,2.0,9,4,13
1998-05-25,A,2.0,10,4,36
1998-05-25,A,2.0,11,4,43
1998-05-25,A,2.0,12,3,81
1998-05-25,A,2.5,4,2,6
