centroid_id,new_event_id,event_id,date,v3_type,event_type_name,centroid_lon,centroid_lat,x_km,y_km
180,20,20,2010-08-08,4,Mixed,46.18189210585344,17.182752432894244,126.26893293426842,-1195.6824560409689
181,20,20,2010-08-08,4,Mixed,52.624198892068605,22.502718271689325,784.4253372471112,-585.4617662742304
182,20,20,2010-08-09,4,Mixed,42.30578049949862,34.32210480137758,-248.32357880974843,703.4269747998769
183,20,20,2010-08-10,4,Mixed,41.55407501571238,34.274943018020025,-317.74418337137865,700.0290751389617
184,20,20,2010-08-11,4,Mixed,41.00341277476369,33.83174495022366,-370.3304612553906,652.5713139031166
185,20,20,2010-08-12,4,Mixed,40.01497853483296,33.582807904244014,-463.1103681106699,628.5200461010689
186,20,20,2010-08-13,4,Mixed,39.29770283163754,33.789274539156686,-528.436756926372,654.4197449043294
187,20,20,2010-08-14,4,Mixed,38.14278385567125,34.91272962915172,-627.1787247700723,784.5098470161741
188,20,20,2010-08-15,4,Mixed,37.8613151328171,34.47752951197666,-656.1437526424787,737.9050270936716
189,20,20,2010-08-16,4,Mixed,36.2911570071645,33.01338826573381,-813.2035458995759,585.7044193459659
190,20,20,2010-08-16,4,Mixed,51.455035038636616,40.80238465521628,547.6774478874315,1433.0342733985376
191,20,20,2010-08-17,4,Mixed,37.727921315728366,32.68030864859774,-681.8528286083375,539.7035769669585
192,20,20,2010-08-17,4,Mixed,51.18838039675349,23.803910501116317,630.5279473804144,-449.4149971572943
193,20,20,2010-08-18,4,Mixed,37.971354995223535,32.44329026815452,-660.7594962639727,512.0711210398059
194,20,20,2010-08-19,4,Mixed,38.32023491962296,32.27414201965258,-629.1630776323194,491.43466244322195
195,20,20,2010-08-20,4,Mixed,37.77906261681878,31.827658208303127,-683.2372359050094,444.97659077000736
196,20,20,2010-08-21,4,Mixed,38.37246187825978,30.0682004721673,-638.5475307233862,246.77624084415936
197,20,20,2010-08-21,4,Mixed,32.702384199983534,42.54361151907368,-1014.6487675946568,1666.261523728578
198,21,21,2011-07-26,4,Mixed,38.01955379462291,34.61522293863528,-640.6205702921526,752.2606693752509
199,21,21,2011-07-26,4,Mixed,48.87967084305304,17.817614781549093,412.74267412128387,-1120.275317191449
200,21,21,2011-07-26,4,Mixed,66.9494733240329,33.905024291413014,2010.5985829419196,845.3665884220635
201,21,21,2011-07-27,4,Mixed,38.17004777642071,34.06812364828645,-630.7555402994176,690.8857061137422
202,21,21,2011-07-27,4,Mixed,48.89088163062102,20.84237865055728,405.5860747436227,-786.2917323980155
203,21,21,2011-07-27,4,Mixed,66.85540898889867,33.78942256374624,2004.798429720249,831.0006292706089
204,21,21,2011-07-28,4,Mixed,38.73981251117796,32.20563079512518,-590.1441549607197,481.68570522417633
205,21,21,2011-07-29,4,Mixed,41.11226262183626,32.80835025055125,-364.33074354081526,538.8780789621696
206,21,21,2011-07-30,4,Mixed,43.50814248815614,34.42965977844067,-137.35060077369369,713.3484835156044
207,21,21,2011-07-31,4,Mixed,45.5534385935522,34.922643413772754,50.66764926021582,767.1801478821008
208,21,21,2011-08-01,4,Mixed,29.125507729376213,19.830111264244223,-1659.0403657976542,-803.444999615026
209,21,21,2011-08-01,4,Mixed,25.95940237884393,36.80660334770022,-1689.7534444597452,1117.5759531386752
210,21,21,2011-08-01,4,Mixed,48.92038506103119,35.81271970568157,355.0531327397392,871.6353356861721
211,21,21,2011-08-02,4,Mixed,25.391237038568512,18.83015422903941,-2058.113310555132,-861.0876378868799
212,21,21,2011-08-02,4,Mixed,35.33349975526882,21.690228648760375,-999.9371066596641,-661.1901576044677
213,21,21,2011-08-02,4,Mixed,50.907404979595256,35.11452108283147,539.1906221954072,802.0587143381836
214,21,21,2011-08-03,4,Mixed,24.50309648990707,19.076283159853563,-2146.320999163966,-819.5798216508044
215,21,21,2011-08-03,4,Mixed,52.38433705596356,34.292530453846894,680.1001814225598,718.8411565549303
216,21,21,2011-08-04,4,Mixed,24.499775972489733,19.07135465218357,-2146.7347084406897,-820.0711335152583
217,21,21,2011-08-04,4,Mixed,25.83135840300177,35.90439967133375,-1719.8260135685553,1020.2430546917716
218,21,21,2011-08-04,4,Mixed,35.32137968007579,21.65992731088705,-1001.4103681541387,-664.4480624242971
219,21,21,2011-08-04,4,Mixed,53.71499058708812,33.90004204463613,805.8270970405835,683.8830157755215
220,21,21,2011-08-05,4,Mixed,24.671954189854137,18.91756284007985,-2131.1974668260173,-839.9162239263128
221,21,21,2011-08-05,4,Mixed,26.065605641076505,35.02285718575145,-1717.0931675021973,919.6509274883216
222,21,21,2011-08-05,4,Mixed,35.06256472314047,21.82149230456799,-1026.8582554630784,-644.5402039592102
223,21,21,2011-08-05,4,Mixed,54.66804332918772,32.74639538959545,905.0345658480816,563.153533184613
224,22,22,2012-07-13,4,Mixed,40.90887439782426,34.0962963245247,-377.95877043706355,682.1700848573369
225,22,22,2012-07-13,4,Mixed,47.09103641444084,17.951158715964322,222.31215060363914,-1109.7928130790924
226,22,22,2012-07-14,4,Mixed,40.76443960807252,30.41569853614528,-406.9072793204084,274.896151225983
227,22,22,2012-07-14,4,Mixed,58.651444358752585,44.67469017514284,1088.9473247386811,1912.8799947721025
228,22,22,2012-07-15,4,Mixed,38.065745613035965,29.829863142485465,-669.6096239148712,222.0321679012297
229,22,22,2012-07-15,4,Mixed,60.02482856166655,44.08292652208375,1208.5159936713508,1862.8791216148263
230,22,22,2012-07-15,4,Mixed,64.3628236876992,28.70580235596672,1876.968818494973,228.63581915131218
231,22,22,2012-07-16,4,Mixed,37.74342290389664,29.499051994359835,-702.9322057876368,187.20896749203285
232,22,22,2012-07-16,4,Mixed,60.37681246535997,43.72037582643608,1243.4862688340484,1827.255520672704
233,22,22,2012-07-17,4,Mixed,38.75643713607258,28.24239056816768,-612.2485977192522,42.487563664521915
234,22,22,2012-07-17,4,Mixed,61.372794385242166,42.97681508882928,1338.086845279252,1757.8528881819373
235,22,22,2012-07-18,4,Mixed,39.97324802252758,28.91156505266173,-489.97663783914584,111.143747547427
236,22,22,2012-07-18,4,Mixed,61.511320676316544,42.899212579775416,1350.8321687067307,1751.0863315345593
237,22,22,2012-07-19,4,Mixed,41.07672340295431,29.051162275295844,-381.988556721999,122.65852816656462
238,22,22,2012-07-19,4,Mixed,62.052198801254654,43.01068354638024,1392.0759958420144,1770.1195660357591
239,22,22,2012-07-20,4,Mixed,40.82074336691557,30.147288639682376,-402.5766506234763,244.96221003891918
240,22,22,2012-07-20,4,Mixed,64.99525480332406,42.93625706269022,1629.5458786498589,1803.131397583542
241,22,22,2012-07-21,4,Mixed,41.21974718548983,30.683912391612544,-362.21790523065874,303.1610889623247
242,22,22,2012-07-21,4,Mixed,68.07380208048609,44.08068890432419,1840.9925079993343,1977.29626979727
243,22,22,2012-07-22,4,Mixed,40.687114224315216,31.600153997346908,-409.35474291900107,406.4091388358392
244,22,22,2012-07-22,4,Mixed,51.77650069421412,41.96291548472124,565.432333986793,1562.5083502674734
245,22,22,2012-07-23,4,Mixed,41.5435233727119,32.98390321925809,-323.32263737145377,557.0675355369114
246,22,22,2012-07-24,4,Mixed,41.46196124036286,32.62130827976449,-332.24842703796224,517.1255521463804
247,22,22,2012-07-25,4,Mixed,40.61282068696384,31.82627888948592,-415.41855501767577,431.7209373866182
248,22,22,2012-07-26,4,Mixed,40.08499870445838,31.625247822824697,-466.32518060381534,411.40362623425915
249,22,22,2012-07-27,4,Mixed,39.42550198305124,31.97765922646335,-526.8679551018514,453.2021853986131
250,22,22,2012-07-28,4,Mixed,38.77948950977239,32.132811056839685,-586.8632183435614,473.4225190769112
251,22,22,2012-07-29,4,Mixed,30.00426452375095,39.57821515888573,-1288.0840620074541,1368.7159016960745
252,22,22,2012-07-29,4,Mixed,35.98612874103812,21.58861289999264,-933.3468746805834,-677.3159566657172
253,22,22,2012-07-29,4,Mixed,45.20250270387312,26.412179415291927,20.20423903034456,-175.92150605549378
254,23,23,2015-07-16,2,Spatially clustered,21.719686681513835,43.30300048207389,-1879.6466187248686,1896.5859750687762
255,23,23,2015-07-16,2,Spatially clustered,48.09959578481335,24.222290019893748,314.9366017135128,-414.6135218973611
256,23,23,2015-07-16,2,Spatially clustered,63.24000584200597,38.81009464777792,1578.7546253496328,1326.0642601626796
257,24,24,2015-07-28,4,Mixed,40.199551699776734,32.83717750400089,-449.64311847156426,545.2211501891031
258,24,24,2015-07-29,4,Mixed,40.2695251005656,33.93409340691685,-437.7674615108252,666.4408142713899
259,24,24,2015-07-30,4,Mixed,39.859372991702536,34.94474232799232,-470.223843210372,779.9283910123308
260,24,24,2015-07-31,4,Mixed,40.43520451991168,34.86465358405104,-417.9928484552124,768.85877381243
261,24,24,2015-08-01,4,Mixed,40.89190466985743,34.04033632863823,-379.7648430779869,676.0284303115311
262,24,24,2015-08-02,4,Mixed,41.66358764906046,33.95266859297772,-308.77276894372665,664.0466018057941
263,24,24,2015-08-03,4,Mixed,42.17264891674258,33.96289174034437,-261.64964244643323,663.9369609745808
264,24,24,2015-08-04,4,Mixed,41.53716438150847,34.08844864074337,-319.9771228622361,679.4234754189689
265,24,24,2015-08-05,4,Mixed,39.8482717064335,33.12027579595426,-481.02416953967287,577.9655529532372
266,24,24,2015-08-06,4,Mixed,37.68243789510396,32.2771282583215,-689.0778055498482,495.3176724863269
267,24,24,2015-08-07,4,Mixed,36.020066591894064,30.248589964062667,-862.9600591403807,281.44156370583636
268,24,24,2015-08-08,4,Mixed,36.39030423980138,26.2140387020398,-859.1835646859292,-168.12822442689875
269,24,24,2015-08-08,4,Mixed,34.525482827915894,43.21893139606532,-856.4124851918111,1724.7157076106769
270,24,24,2015-08-09,4,Mixed,30.920237941047763,29.004592062676057,-1366.1277750349832,190.77500164012045
271,24,24,2015-08-09,4,Mixed,52.46965027979739,25.03805431705037,753.1936087067736,-305.74155279152944
272,24,24,2015-08-10,4,Mixed,29.565563950293875,25.19618301551768,-1548.4904637180166,-214.90110743887905
273,24,24,2015-08-10,4,Mixed,35.56356537899455,43.147137882148286,-772.7911090996743,1709.0513635135853
274,24,24,2015-08-10,4,Mixed,51.483723648790416,23.169285065518373,663.8824562124056,-518.1558326669149
275,24,24,2015-08-10,4,Mixed,50.99341018071761,40.787530142735406,508.68978333719815,1429.1967560946841
276,24,24,2015-08-11,4,Mixed,29.71594046049221,24.653985956103607,-1540.5034288798602,-276.8072691102351
277,24,24,2015-08-11,4,Mixed,44.36928882897623,33.20819750392391,-58.868386420548276,577.3314206437673
278,24,24,2015-08-12,4,Mixed,33.73198854625139,31.64976388296417,-1066.3847284379606,455.1025221416567
279,24,24,2015-08-12,4,Mixed,48.39708882381973,15.29870620534946,366.9470047316677,-1399.1188992226541
280,24,24,2015-08-12,4,Mixed,52.42574479864887,27.18905774346715,734.9691787733698,-67.73739342716901
281,24,24,2015-08-13,4,Mixed,33.733975925404486,32.03332392725973,-1061.9062691490158,497.53996145782963
282,24,24,2015-08-13,4,Mixed,45.84626292824584,12.410579628148351,92.85160464886248,-1720.5600312732224
283,24,24,2015-08-14,4,Mixed,35.058920471129014,31.619043079303697,-941.6947926797146,440.479473360558
284,24,24,2015-08-15,4,Mixed,34.46469451459285,33.46801641174992,-978.0688856515549,649.9686930010063
285,24,24,2015-08-15,4,Mixed,43.52332666561178,15.255253380818706,-159.57362229511628,-1407.588197612469
286,24,24,2015-08-16,4,Mixed,36.72751816768586,30.343934634513293,-794.4296978937729,287.1237659996069
287,24,24,2015-08-17,4,Mixed,39.27908977865592,29.36376804034882,-555.1386045344799,164.2414193851588
288,24,24,2015-08-18,4,Mixed,41.19889075416731,30.34811813403,-365.4441393121622,266.01198945967957
289,24,24,2015-08-19,4,Mixed,41.562257073429855,31.05175383032717,-328.1893281342486,342.9371580567016
290,24,24,2015-08-20,4,Mixed,41.50598643192887,30.768018968104016,-334.5217532203965,311.6502527509835
291,25,25,2016-06-07,3,Temporally clustered,29.02238341538269,21.650324833660605,-1648.0615389001957,-600.6848447957195
292,25,25,2016-06-07,3,Temporally clustered,64.25140357392623,28.3519772835717,1872.6156178141287,187.75998150320385
293,25,25,2016-06-08,3,Temporally clustered,30.2740314597332,20.521023627395486,-1532.6019591498564,-741.0794031620088
294,25,25,2016-06-08,3,Temporally clustered,64.16667386050513,28.377833395901867,1864.0490971047836,189.31232757182428
295,26,26,2016-07-17,1,Independent,42.68231802379214,32.667728201865074,-217.5738257871038,519.4286149032356
296,27,27,2016-08-03,2,Spatially clustered,40.92372359353712,31.89574848015944,-385.7207027428643,438.3700354062723
297,27,27,2016-08-03,2,Spatially clustered,50.67713894321192,41.75893058272816,475.2708753022398,1534.8397423668496
298,28,28,2017-06-30,4,Mixed,28.154713982838448,37.03867528760232,-1493.4298922466135,1112.2472691302044
299,28,28,2017-06-30,4,Mixed,45.20823372501688,21.48195820416035,21.612538437547013,-721.6338500916928
300,28,28,2017-06-30,4,Mixed,57.09293105788462,44.75784941753149,964.3702602235494,1907.0587689321333
301,28,28,2017-07-01,4,Mixed,29.298686731454605,35.551335453601055,-1418.7474625129796,933.7241135091035
302,28,28,2017-07-01,4,Mixed,45.358935348979074,20.93950531625764,37.40027271700603,-781.5611000711888
303,28,28,2017-07-01,4,Mixed,45.59332938684691,44.1960722068698,47.92188459918658,1791.0796752062608
304,28,28,2017-07-01,4,Mixed,59.08218927782285,43.68766642696833,1140.5071408725698,1809.3764698137268
305,28,28,2017-07-02,4,Mixed,37.28810657438733,29.98574817850106,-743.3780869959111,243.85928755697017
306,28,28,2017-07-02,4,Mixed,58.52065207682465,43.048052102261856,1106.2434297957627,1733.503427669184
307,28,28,2017-07-03,4,Mixed,42.76654882045875,31.653752550826187,-211.93198087095965,406.9242167288407
308,28,28,2017-07-04,4,Mixed,46.94964511471891,31.506879919295955,185.289004394509,390.1754946463724
309,28,28,2017-07-05,4,Mixed,30.3213904141227,20.982577581027343,-1522.6713240712388,-690.5677712097554
310,28,28,2017-07-05,4,Mixed,50.66441014526739,31.64716566529393,537.2108380607646,416.9913009504135
311,28,28,2017-07-06,4,Mixed,45.59771840618521,26.17507221672101,59.758600999585894,-202.06208203650363
312,28,28,2017-07-06,4,Mixed,62.66409506280089,39.9057601698498,1507.2623947426475,1438.294049445643
313,29,29,2017-07-17,3,Temporally clustered,40.01901852450898,27.55455485753552,-491.6835233565712,-39.4115885973648
314,29,29,2017-07-18,3,Temporally clustered,40.97938350292181,28.42385746771232,-393.7878417857289,53.45059851068006
315,30,30,2017-07-22,3,Temporally clustered,23.16112907156457,43.21097676237208,-1768.7834709039073,1862.1062795538082
316,30,30,2017-07-22,3,Temporally clustered,47.00560042412786,33.02424173780482,187.55708619009528,558.3903569541654
