centroid_id,new_event_id,event_id,date,v3_type,event_type_name,centroid_lon,centroid_lat,x_km,y_km,nearest_grid_id,nearest_grid_lon,nearest_grid_lat,mean_tmax,std_tmax,cv_tmax,mean_tmax_z,cv_tmax_z,nearest_grid_dist_km
87,11,11,2002-07-20,4,Mixed,24.02449537722921,27.739456167004438,-2048.9936468195215,147.88744862066088,855,24.5,27.5,34.420297885792486,4.212926835618481,0.12239658266750306,0.6233300807146308,-0.26401566833359225,53.68408730006558
88,11,11,2002-07-20,4,Mixed,43.20722728200316,30.340417321748625,-172.4150055032333,260.6698792475233,1024,43.5,30.5,37.52047249867571,5.240712626549124,0.13967608288339375,1.1423976461802048,-0.04516574520346138,33.240906600809495
89,11,11,2002-07-20,4,Mixed,63.69674091480725,29.50513682837008,1799.433393516957,306.8751550684598,994,63.5,29.5,34.953563079732184,4.426104312582919,0.12662812951247865,0.712615588961657,-0.21042189014706728,18.890226775306637
90,12,12,2002-07-31,1,Independent,33.806139003448365,30.896018131355483,-1067.678950147906,370.99230403374384,1014,33.5,30.5,29.964878304423696,4.042553287114467,0.13490971817221323,-0.1226484798535827,-0.10553314805766816,52.96323605753664
91,13,13,2002-08-06,3,Temporally clustered,25.94412851101665,33.85413474675237,-1751.3409755645591,792.6578073910466,1156,25.5,33.5,23.051164073582935,3.4949737458161643,0.151618102003858,-1.2802235400498407,0.10608341905932782,57.21543155825076
92,13,13,2002-08-06,3,Temporally clustered,43.47141281585606,21.140680030018665,-159.03847639786585,-758.4427248291212,574,43.5,21.5,38.630417002945634,3.332623982395838,0.08626942810743461,1.328237562822018,-0.721576645190456,39.83063770902289
93,13,13,2002-08-06,3,Temporally clustered,51.89890236856987,25.03970548435333,695.748983043373,-308.8520706599404,782,51.5,25.5,36.688080472069935,3.6339521247335322,0.09904993878052583,1.0030288180607516,-0.5597077402207613,64.85907402435146
94,13,13,2002-08-06,3,Temporally clustered,60.83804902567948,40.23046121628152,1347.4712642471643,1450.3739448648969,1541,60.5,40.5,31.295010117324672,6.739063344455937,0.21533986789559287,0.10005777643328773,0.9131382176869933,41.98809047157912
95,13,13,2002-08-07,3,Temporally clustered,25.77883684588748,33.04722644343183,-1782.2479700927247,706.1635576765163,1156,25.5,33.5,23.051164073582935,3.4949737458161643,0.151618102003858,-1.2802235400498407,0.10608341905932782,56.6508816341366
96,13,13,2002-08-07,3,Temporally clustered,43.59244721677583,20.744786174092223,-146.86259846986923,-802.3391998752625,524,43.5,20.5,37.87532416115966,3.090531910290511,0.08159750388248256,1.2018110701149471,-0.7807479316701587,28.70784329079627
97,13,13,2002-08-07,3,Temporally clustered,60.83972684521787,39.75319973586858,1356.4742783546542,1397.9851125622702,1491,60.5,39.5,32.3975417989987,6.632981663999655,0.2047371897890308,0.2846565514432426,0.7788521990172675,40.04677740483952
98,14,14,2006-08-20,3,Temporally clustered,32.41985090438441,33.104238807316044,-1171.3453966973298,628.4930226751721,1163,32.5,33.5,23.69407434423507,3.4404527333290114,0.1452030867863845,-1.172579968099596,0.02483537544220927,44.74458504740076
99,14,14,2006-08-20,3,Temporally clustered,48.7570243350719,41.86902515104832,314.16800066964845,1540.0824680482995,1579,48.5,41.5,19.11788604650038,5.8451227589283254,0.3057410607381616,-1.9387790424827231,2.0580957602827064,45.92591048648861
100,14,14,2006-08-21,3,Temporally clustered,32.93676722185646,32.362950325129994,-1132.597091212855,541.4242269118206,1113,32.5,32.5,23.72910080363266,3.3315752465601705,0.14040040008807006,-1.1667154277827918,-0.03599205600037526,43.57469250310254
101,14,14,2006-08-21,3,Temporally clustered,45.13615415464567,17.656881479586264,14.503634367879593,-1143.9699361843045,376,45.5,17.5,37.18727288613978,2.8679837424297467,0.07712272290605866,1.0866094621939335,-0.8374223412583449,42.451920221973914
102,14,14,2006-08-21,3,Temporally clustered,49.24196576513162,41.78305190233853,355.12689702887974,1532.0833260601069,1580,49.5,41.5,21.137906598202502,5.883098708251558,0.27831983649468095,-1.6005635285548496,1.7107979366858745,38.1411201457217
103,14,14,2006-08-21,3,Temporally clustered,60.09519423344051,44.43495067458742,1207.3883222971267,1902.134099745289,1741,60.5,44.5,26.10118487078499,7.293404218662319,0.27942808936715413,-0.7695533141716072,1.7248342833926187,32.85407401560701
104,14,14,2006-08-22,3,Temporally clustered,35.02580909205152,32.05199367264768,-940.5302316582671,488.6767015501487,1116,35.5,32.5,30.31113976228796,4.474955107518959,0.1476340098925128,-0.06467332864717706,0.055623727435294666,67.00683138557231
105,14,14,2006-08-22,3,Temporally clustered,44.41210899051735,17.451239527314563,-62.70468612447213,-1166.5089733625941,375,44.5,17.5,33.97324324302562,2.707629494082688,0.07969888169680527,0.5484789532695008,-0.8047945368495446,10.801175179073992
106,14,14,2006-08-22,3,Temporally clustered,59.72967625322075,44.40027034352142,1179.1396024042629,1894.2813642849896,1740,59.5,44.5,24.61015172803973,7.487112548506465,0.30422862204364126,-1.019199556746789,2.0389402819471454,21.70477532668819
107,14,14,2006-08-23,3,Temporally clustered,35.20688268336332,28.646735203328056,-955.5336361999538,110.10725709421062,916,35.5,28.5,33.1370298376167,3.83414810276886,0.11570584694999995,0.4084703051270632,-0.34875579271016394,32.91291500337332
108,14,14,2006-08-23,3,Temporally clustered,54.60643411141143,41.96844013917587,800.5548614769302,1580.7266735927399,1585,54.5,41.5,26.726728632756423,6.564295014723917,0.24560787460829311,-0.6648174466274527,1.2964913737166444,52.417454485836856
